Time [s],MideaIR
0.000000000,1
177.888052000,0
177.892444750,1
177.896807250,0
177.897369750,1
177.898983500,0
177.899519000,1
177.900033000,0
177.900594250,1
177.902208250,0
177.902744000,1
177.904358500,0
177.904893750,1
177.905432500,0
177.905968750,1
177.906507250,0
177.907044000,1
177.908631250,0
177.909194250,1
177.909733000,0
177.910269000,1
177.910807500,0
177.911344000,1
177.912930000,0
177.913494000,1
177.914032000,0
177.914569250,1
177.915107500,0
177.915644000,1
177.917257750,0
177.917793500,1
177.919407500,0
177.919944000,1
177.920482250,0
177.921019000,1
177.922632250,0
177.923168750,1
177.924757000,0
177.925319000,1
177.925857250,0
177.926393750,1
177.928007000,0
177.928543500,1
177.930157750,0
177.930693750,1
177.932307000,0
177.932843500,1
177.934429500,0
177.934993750,1
177.936607250,0
177.937143500,1
177.938756750,0
177.939293250,1
177.939831750,0
177.940368250,1
177.941982000,0
177.942518250,1
177.943057250,0
177.943593250,1
177.944132250,0
177.944668750,1
177.945207500,0
177.945743500,1
177.946282000,0
177.946872250,1
177.947356750,0
177.947946500,1
177.948431250,0
177.949022000,1
177.949507000,0
177.950097000,1
177.951656750,0
177.952246750,1
177.952731500,0
177.953321500,1
177.953806500,0
177.954396250,1
177.955956500,0
177.956546250,1
177.958106500,0
177.958696250,1
177.959181250,0
177.959770250,1
177.960256000,0
177.960845500,1
177.962406500,0
177.962995000,1
177.963480750,0
177.964069750,1
177.965631000,0
177.966219750,1
177.967780750,0
177.968369500,1
177.968855750,0
177.969444250,1
177.969931000,0
177.970519250,1
177.972080750,0
177.972668500,1
177.974230750,0
177.974818750,1
177.979973000,0
177.984416250,1
177.988756000,0
177.989341250,1
177.990905750,0
177.991490500,1
177.991980250,0
177.992516000,1
177.994130750,0
177.994665750,1
177.996280500,0
177.996815500,1
177.997355500,0
177.997890000,1
177.998430250,0
177.998964750,1
178.000580250,0
178.001114500,1
178.001655250,0
178.002189000,1
178.002730250,0
178.003264000,1
178.004880500,0
178.005413750,1
178.005955000,0
178.006488250,1
178.007030000,0
178.007536000,1
178.009180250,0
178.009662500,1
178.011330000,0
178.011812250,1
178.012404750,0
178.012887250,1
178.014554750,0
178.015037250,1
178.016705000,0
178.017187250,1
178.017779750,0
178.018262250,1
178.019929750,0
178.020411750,1
178.022079500,0
178.022561500,1
178.024229250,0
178.024710750,1
178.026379250,0
178.026861500,1
178.028529250,0
178.029011250,1
