Time [s],MideaIR
0.000000000,1
3.002308250,0
3.006727500,1
3.011091625,0
3.011628625,1
3.013241375,0
3.013803625,1
3.014315625,0
3.014879250,1
3.016467500,0
3.017029375,1
3.018617375,0
3.019179500,1
3.019691625,0
3.020229875,1
3.020767000,0
3.021328875,1
3.022917500,0
3.023480625,1
3.023992250,0
3.024556250,1
3.025067625,0
3.025631250,1
3.027218625,0
3.027780500,1
3.028293375,0
3.028856625,1
3.029367625,0
3.029931375,1
3.031519250,0
3.032081500,1
3.033669125,0
3.034207000,1
3.034743875,0
3.035306375,1
3.036895625,0
3.037457125,1
3.039045125,0
3.039607500,1
3.040119000,0
3.040682375,1
3.042270750,0
3.042832375,1
3.044420625,0
3.044983125,1
3.046571875,0
3.047133125,1
3.048722875,0
3.049283500,1
3.050872000,0
3.051434000,1
3.053021500,0
3.053583000,1
3.054097500,0
3.054658625,1
3.056247375,0
3.056784250,1
3.057323125,0
3.057883500,1
3.058397625,0
3.058934375,1
3.059473750,0
3.060034125,1
3.060547750,0
3.061109250,1
3.061623625,0
3.062183375,1
3.062698125,0
3.063258750,1
3.063773625,0
3.064333000,1
3.065924125,0
3.066483125,1
3.066999125,0
3.067558750,1
3.069148875,0
3.069707875,1
3.071299625,0
3.071834500,1
3.073450250,0
3.073984875,1
3.074525375,0
3.075059625,1
3.075600500,0
3.076134625,1
3.077750375,0
3.078284875,1
3.078825875,0
3.079359750,1
3.080976000,0
3.081510000,1
3.082051375,0
3.082584875,1
3.083127375,0
3.083659750,1
3.084202250,0
3.084758625,1
3.086352625,0
3.086909250,1
3.088503625,0
3.089034875,1
3.094247000,0
3.098635125,1
3.103053250,0
3.103560625,1
3.105202875,0
3.105710750,1
3.106277875,0
3.106785625,1
3.108428625,0
3.108936000,1
3.110579125,0
3.111086375,1
3.111653875,0
3.112161125,1
3.112729125,0
3.113236125,1
3.114879500,0
3.115386375,1
3.115954375,0
3.116461125,1
3.117029750,0
3.117536375,1
3.119180250,0
3.119686500,1
3.120255375,0
3.120761750,1
3.121330750,0
3.121836625,1
3.123481250,0
3.123986625,1
