channel,direction,start_time,packet_len,packet_content,start_byte,valid_start
mainboardGrey,toACmainboard,0.026963125,36,AA 20 24 03 4A 66 00 00 00 40 00 00 00 00 00 00 A0 00 FF FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 23 08,0xAA,True
mainboardBlue,fromACmainboard,0.0850545,29,AA 20 1D 03 00 01 00 00 00 00 00 00 00 01 00 00 00 00 00 FF 00 00 00 00 00 00 00 C8 F7,0xAA,True
mainboardGrey,toACmainboard,0.146724125,10,AA 30 0A 00 FF 03 00 00 42 82,0xAA,True
mainboardBlue,fromACmainboard,0.177441375,64,AA 30 40 C0 08 2E 09 14 05 7A 03 30 00 00 01 01 A9 03 57 57 00 00 00 00 00 00 40 01 00 00 00 00 00 00 08 00 1B 72 AD B3 00 01 0B 37 00 00 AA 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 15 37,0xAA,True
mainboardGrey,toACmainboard,0.2772695,36,AA 20 24 03 4A 66 00 00 00 40 00 00 00 00 00 00 A0 00 FF FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 23 08,0xAA,True
mainboardBlue,fromACmainboard,0.335567125,29,AA 20 1D 03 00 01 00 00 00 00 00 00 00 01 00 00 00 00 00 FF 00 00 00 00 00 00 00 C8 F7,0xAA,True
mainboardGrey,toACmainboard,0.406791125,32,AA 31 20 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 4B 64,0xAA,True
mainboardBlue,fromACmainboard,0.46128125,64,AA 31 40 00 4D 28 1B 00 1B 00 00 00 00 33 07 00 B7 88 33 B1 1E 00 10 18 00 00 00 00 00 00 00 00 00 00 FC 07 00 00 00 01 00 64 00 64 00 00 64 00 F0 00 01 00 00 00 00 00 00 00 00 00 00 00 E4 3C,0xAA,True
mainboardGrey,toACmainboard,0.566987125,36,AA 20 24 03 4A 66 00 00 00 40 00 00 00 00 00 00 A0 00 FF FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 23 08,0xAA,True
mainboardBlue,fromACmainboard,0.625136125,29,AA 20 1D 03 00 01 00 00 00 00 00 00 00 01 00 00 00 00 00 FF 00 00 00 00 00 00 00 C8 F7,0xAA,True
mainboardGrey,toACmainboard,0.686760875,10,AA 30 0A 00 FF 03 00 00 42 82,0xAA,True
mainboardBlue,fromACmainboard,0.71878275,64,AA 30 40 C0 08 FC 08 14 05 7A 03 30 00 00 01 01 A9 03 57 57 00 00 00 00 00 00 40 01 00 00 00 00 00 00 08 00 1B 72 AD B3 00 01 0B 37 00 00 AA 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 E7 98,0xAA,True
mainboardGrey,toACmainboard,0.82692025,36,AA 20 24 03 4A 66 00 00 00 40 00 00 00 00 00 00 A0 00 FF FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 23 08,0xAA,True
mainboardBlue,fromACmainboard,0.88501075,29,AA 20 1D 03 00 01 00 00 00 00 00 00 00 01 00 00 00 00 00 FF 00 00 00 00 00 00 00 C8 F7,0xAA,True
mainboardGrey,toACmainboard,0.946718625,32,AA 31 20 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 4B 64,0xAA,True
mainboardBlue,fromACmainboard,1.001342,64,AA 31 40 00 4D 28 1B 00 1B 00 00 00 00 33 07 00 B7 88 33 B1 1E 00 10 18 00 00 00 00 00 00 00 00 00 00 FC 07 00 00 00 01 00 64 00 64 00 00 64 00 F0 00 01 00 00 00 00 00 00 00 00 00 00 00 E4 3C,0xAA,True
mainboardGrey,toACmainboard,1.107,36,AA 20 24 03 4A 66 00 00 00 40 00 00 00 00 00 00 A0 00 FF FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 23 08,0xAA,True
mainboardBlue,fromACmainboard,1.165008375,29,AA 20 1D 03 00 01 00 00 00 00 00 00 00 01 00 00 00 00 00 FF 00 00 00 00 00 00 00 C8 F7,0xAA,True
mainboardGrey,toACmainboard,1.226687125,10,AA 30 0A 00 FF 03 00 00 42 82,0xAA,True
mainboardBlue,fromACmainboard,1.25711275,64,AA 30 40 C0 08 FC 08 14 05 7A 03 30 00 00 01 01 A9 03 57 57 00 00 00 00 00 00 40 01 00 00 00 00 00 00 08 00 1B 72 AD B3 00 01 0B 37 00 00 AA 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 E7 98,0xAA,True
