Time [s],Channel 6,Channel 7
0.000000000,1,1
0.193535250,0,1
0.193556000,1,1
0.193576750,0,1
0.193597750,1,1
0.193660250,0,1
0.193681000,1,1
0.193743500,0,1
0.193764500,1,1
0.193785250,0,1
0.193806250,1,1
0.193868750,0,1
0.193889500,1,1
0.193952000,0,1
0.193972750,1,1
0.193993500,0,1
0.194014500,1,1
0.194035250,0,1
0.194056250,1,1
0.194160500,0,1
0.194181250,1,1
0.194201750,0,1
0.194223000,1,1
0.194243750,0,1
0.194264500,1,1
0.194327000,0,1
0.194348000,1,1
0.194368500,0,1
0.194389500,1,1
0.194410250,0,1
0.194431250,1,1
0.194452000,0,1
0.194473000,1,1
0.194493750,0,1
0.194514500,1,1
0.194535250,0,1
0.194556250,1,1
0.194577000,0,1
0.194598000,1,1
0.194618750,0,1
0.194639750,1,1
0.194660250,0,1
0.194681250,1,1
0.194702000,0,1
0.194723000,1,1
0.194743750,0,1
0.194764750,1,1
0.194785500,0,1
0.194806250,1,1
0.194827000,0,1
0.194848000,1,1
0.194868750,0,1
0.194889750,1,1
0.194910500,0,1
0.194931500,1,1
0.194952000,0,1
0.194973000,1,1
0.194993750,0,1
0.195014750,1,1
0.195035500,0,1
0.195056500,1,1
0.195077000,0,1
0.195098000,1,1
0.195118750,0,1
0.195139750,1,1
0.195160500,0,1
0.195181500,1,1
0.195202250,0,1
0.195223250,1,1
0.195243750,0,1
0.195264750,1,1
0.195285500,0,1
0.195306500,1,1
0.195327250,0,1
0.195348250,1,1
0.195368750,0,1
0.195389750,1,1
0.195410500,0,1
0.195431500,1,1
0.195452250,0,1
0.195473250,1,1
0.195493750,0,1
0.195514750,1,1
0.195535500,0,1
0.195556500,1,1
0.195577250,0,1
0.195598250,1,1
0.195619000,0,1
0.195640000,1,1
0.195660500,0,1
0.195681500,1,1
0.195702250,0,1
0.195723250,1,1
0.195744000,0,1
0.195765000,1,1
0.195785750,0,1
0.195806500,1,1
0.195827250,0,1
0.195848250,1,1
0.195869000,0,1
0.195890000,1,1
0.195910750,0,1
0.195931500,1,1
0.195952250,0,1
0.195973250,1,1
0.195994000,0,1
0.196015000,1,1
0.196035750,0,1
0.196056750,1,1
0.196077250,0,1
0.196098250,1,1
0.196160750,0,1
0.196181750,1,1
0.196244250,0,1
0.196265000,1,1
0.196327500,0,1
0.196348250,1,1
0.196411000,0,1
0.196431750,1,1
0.196452500,0,1
0.196473500,1,1
0.196536000,0,1
0.196556750,1,1
0.196619250,0,1
0.196640000,1,1
0.196660750,0,1
0.196681750,1,1
0.196702500,0,1
0.196723500,1,1
0.196786000,0,1
0.196806750,1,1
0.196869250,0,1
0.196890250,1,1
0.196910750,0,1
0.196931750,1,1
0.196952500,0,1
0.196973500,1,1
0.196994250,0,1
0.197015250,1,1
0.197036000,0,1
0.197057000,1,1
0.197077500,0,1
0.197098500,1,1
0.197119250,0,1
0.197140250,1,1
0.197161000,0,1
0.197182000,1,1
0.197202500,0,1
0.197223500,1,1
0.197244250,0,1
0.197265250,1,1
0.197286000,0,1
0.197307000,1,1
0.197327500,0,1
0.197348500,1,1
0.197369250,0,1
0.197390250,1,1
0.197411000,0,1
0.197432000,1,1
0.197452750,0,1
0.197473750,1,1
0.197494250,0,1
0.197515250,1,1
0.197536000,0,1
0.197557000,1,1
0.197577750,0,1
0.197598750,1,1
0.197619250,0,1
0.197640250,1,1
0.197661000,0,1
0.197682000,1,1
0.197702750,0,1
0.197723750,1,1
0.197744500,0,1
0.197765250,1,1
0.197786000,0,1
0.197807000,1,1
0.197827750,0,1
0.197848750,1,1
0.197869500,0,1
0.197890500,1,1
0.197911000,0,1
0.197932000,1,1
0.197952750,0,1
0.197973750,1,1
0.197994500,0,1
0.198015500,1,1
0.198036250,0,1
0.198057000,1,1
0.198077750,0,1
0.198098750,1,1
0.198119500,0,1
0.198140500,1,1
0.198161250,0,1
0.198182250,1,1
0.198202750,0,1
0.198223750,1,1
0.198244500,0,1
0.198265500,1,1
0.198286250,0,1
0.198307250,1,1
0.198327750,0,1
0.198348750,1,1
0.198369500,0,1
0.198390500,1,1
0.198411250,0,1
0.198432250,1,1
0.198453000,0,1
0.198474000,1,1
0.198494500,0,1
0.198515500,1,1
0.198536250,0,1
0.198557250,1,1
0.198578000,0,1
0.198599000,1,1
0.198619500,0,1
0.198640500,1,1
0.198661250,0,1
0.198682250,1,1
0.198703000,0,1
0.198724000,1,1
0.198744500,0,1
0.198765500,1,1
0.198786250,0,1
0.198807250,1,1
0.198828000,0,1
0.198849000,1,1
0.198869750,0,1
0.198890750,1,1
0.198911250,0,1
0.198932250,1,1
0.198953000,0,1
0.198974000,1,1
0.199078250,0,1
0.199099000,1,1
0.199119500,0,1
0.199140750,1,1
0.199161500,0,1
0.199182250,1,1
0.199286500,0,1
0.199307250,1,1
0.199369750,0,1
0.199390750,1,1
0.199411500,0,1
0.199432500,1,1
0.199453000,0,1
0.199474000,1,1
0.199494750,0,1
0.199515750,1,1
0.199536500,0,1
0.199557500,1,1
0.199578250,0,1
0.199599250,1,1
0.199619750,0,1
0.199640750,1,1
0.199703250,0,1
0.199724250,1,1
0.199744750,0,1
0.199765750,1,1
0.199786500,0,1
0.199807500,1,1
0.199870000,0,1
0.199890750,1,1
0.199953250,0,1
0.199974250,1,1
0.199994750,0,1
0.200016000,1,1
0.200078500,0,1
0.200099250,1,1
0.200161750,0,1
0.200182500,1,1
0.213421250,1,0
0.213423000,0,0
0.213442000,0,1
0.213443750,1,1
0.213462750,1,0
0.213464250,0,0
0.213483750,0,1
0.213485250,1,1
0.213546000,1,0
0.213547750,0,0
0.213567000,0,1
0.213568500,1,1
0.213629250,1,0
0.213630750,0,0
0.213650250,0,1
0.213651750,1,1
0.213671000,1,0
0.213672250,0,0
0.213691750,0,1
0.213693500,1,1
0.213754250,1,0
0.213755750,0,0
0.213775000,0,1
0.213776750,1,1
0.213837500,1,0
0.213839000,0,0
0.213858250,0,1
0.213860000,1,1
0.213879000,1,0
0.213880500,0,0
0.213900000,0,1
0.213901750,1,1
0.213920750,1,0
0.213922250,0,0
0.213941500,0,1
0.213943250,1,1
0.214045750,1,0
0.214047250,0,0
0.214066500,0,1
0.214068000,1,1
0.214087250,1,0
0.214088500,0,0
0.214108000,0,1
0.214109750,1,1
0.214129000,1,0
0.214130250,0,0
0.214149750,0,1
0.214151250,1,1
0.214212250,1,0
0.214213750,0,0
0.214233000,0,1
0.214234750,1,1
0.214253750,1,0
0.214255250,0,0
0.214274500,0,1
0.214276250,1,1
0.214295500,1,0
0.214296750,0,0
0.214316250,0,1
0.214318000,1,1
0.214337000,1,0
0.214338500,0,0
0.214357750,0,1
0.214359500,1,1
0.214378750,1,0
0.214380000,0,0
0.214399500,0,1
0.214401250,1,1
0.214420250,1,0
0.214421750,0,0
0.214441000,0,1
0.214442750,1,1
0.214462000,1,0
0.214463250,0,0
0.214482750,0,1
0.214484500,1,1
0.214503500,1,0
0.214505000,0,0
0.214524500,0,1
0.214526000,1,1
0.214545250,1,0
0.214546500,0,0
0.214566000,0,1
0.214567750,1,1
0.214586750,1,0
0.214588250,0,0
0.214607750,0,1
0.214609250,1,1
0.214628500,1,0
0.214629750,0,0
0.214649250,0,1
0.214651000,1,1
0.214670000,1,0
0.214671500,0,0
0.214691000,0,1
0.214692500,1,1
0.214711750,1,0
0.214713000,0,0
0.214732500,0,1
0.214734250,1,1
0.214753250,1,0
0.214754750,0,0
0.214774250,0,1
0.214775750,1,1
0.214795000,1,0
0.214796250,0,0
0.214815750,0,1
0.214817500,1,1
0.214836500,1,0
0.214838000,0,0
0.214857500,0,1
0.214859000,1,1
0.214878250,1,0
0.214879750,0,0
0.214899000,0,1
0.214900750,1,1
0.214919750,1,0
0.214921250,0,0
0.214940750,0,1
0.214942250,1,1
0.214961500,1,0
0.214963000,0,0
0.214982250,0,1
0.214984000,1,1
0.215003250,1,0
0.215004500,0,0
0.215024000,0,1
