channel,start_time,packet_len,packet_content,start_byte,valid_start
bidirectionalExtensionBoard,0.00104,19,00 08 61 1E 72 AD B3 00 35 00 00 00 00 00 00 00 B8 00 EF,0x00,False
master,0.19353525,15,AA C4 00 00 00 00 A5 5A 00 00 00 00 00 3B 02,0xAA,True
slave,0.21342125,31,AA C4 00 00 00 00 05 00 02 30 0E 00 00 00 00 00 84 80 57 BC D6 32 98 00 00 00 00 00 00 00 40,0xAA,True
master,0.4935205,15,AA C0 00 00 00 00 00 00 00 00 00 00 00 3F 01,0xAA,True
slave,0.5133975,31,AA C0 00 00 00 00 10 30 84 80 57 56 83 00 2F 00 FF 00 00 20 00 00 00 00 00 00 00 FF 00 00 7F,0xAA,True
master,0.79379725,31,AA D0 20 01 00 84 80 57 00 00 00 00 00 00 00 06 17 00 61 29 00 00 00 00 00 00 00 00 00 92 7B,0xAA,True
bidirectionalExtensionBoard,0.8232725,38,AA BC 22 AC 00 00 00 00 00 03 03 41 81 00 FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 F3 F0 BC 00 66,0xAA,True
bidirectionalExtensionBoard,1.021708,44,55 BC 28 AC 00 00 00 00 00 03 03 C0 01 87 66 7F 7F 00 00 80 00 00 60 3C 0B 00 30 00 00 00 00 00 00 00 01 00 00 00 00 00 00 22 00 EF,0x55,True
master,1.0938135,15,AA C0 00 00 00 00 00 00 00 00 00 00 00 3F 01,0xAA,True
slave,1.113989,31,AA C0 00 00 00 00 10 30 84 80 57 56 83 00 2F 00 FF 00 00 20 00 00 00 00 00 00 00 FF 00 00 7F,0xAA,True
master,1.3937985,15,AA C4 00 00 00 00 A5 5A 00 00 00 00 00 3B 02,0xAA,True
slave,1.41391725,31,AA C4 00 00 00 00 05 00 02 30 0E 00 00 00 00 00 84 80 57 BC D6 32 98 00 00 00 00 00 00 00 40,0xAA,True
master,1.6937835,15,AA C0 00 00 00 00 00 00 00 00 00 00 00 3F 01,0xAA,True
slave,1.71368775,31,AA C0 00 00 00 00 10 30 84 80 57 56 83 00 2F 00 FF 00 00 20 00 00 00 00 00 00 00 FF 00 00 7F,0xAA,True
bidirectionalExtensionBoard,1.9223845,38,AA BC 22 AC 00 00 00 00 00 03 03 93 00 80 84 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 78 AD 61 00 A9,0xAA,True
master,1.99407075,31,AA D0 20 01 00 84 80 57 00 00 00 00 00 00 00 06 17 00 61 29 00 00 00 00 00 00 00 00 00 92 7B,0xAA,True
bidirectionalExtensionBoard,2.119719,44,55 BC 28 AC 00 00 00 00 00 03 03 93 00 00 84 00 00 00 00 00 10 30 05 00 02 30 0E 00 BC D6 98 00 00 00 00 80 80 80 80 00 00 60 00 EF,0x55,True
master,2.294087,15,AA C0 01 00 00 00 00 00 00 00 00 00 00 3F 00,0xAA,True
master,2.5941345,31,AA D0 20 01 00 84 80 57 00 00 00 00 00 00 00 06 17 00 61 29 00 00 00 00 00 00 00 00 00 92 7B,0xAA,True
master,2.89416125,15,AA C0 00 00 00 00 00 00 00 00 00 00 00 3F 01,0xAA,True
slave,2.914233,31,AA C0 00 00 00 00 10 30 84 80 57 56 83 00 2F 00 FF 00 00 20 00 00 00 00 00 00 00 FF 00 00 7F,0xAA,True
bidirectionalExtensionBoard,3.0214685,38,AA BC 22 AC 00 00 00 00 00 03 03 41 81 01 41 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 FC 19 70 00 3D,0xAA,True
master,3.1940315,15,AA C4 00 00 00 00 A5 5A 00 00 00 00 00 3B 02,0xAA,True
