session,kind,gap_ms,ref_msg_type_hex,ref_start_s
Session 1,reply_latency,52.569,0x41,7.635940
Session 1,post_rx_silence,13.960,0x41,7.765592
Session 1,command_period,143.612,0x41,7.635940
Session 1,post_tx_total,109.237,0x41,7.670315
Session 1,reply_latency,57.483,0xb1,7.779552
Session 1,post_rx_silence,13.839,0xb1,7.904744
Session 1,command_period,139.030,0xb1,7.779552
Session 1,post_tx_total,112.988,0xb1,7.805594
Session 1,reply_latency,60.028,0x41,7.918582
Session 1,post_rx_silence,14.314,0x41,8.047360
Session 1,command_period,143.092,0x41,7.918582
Session 1,post_tx_total,108.717,0x41,7.952957
Session 1,reply_latency,56.893,0x41,8.061674
Session 1,post_rx_silence,461.302,0x41,8.195650
Session 1,command_period,595.278,0x41,8.061674
Session 1,post_tx_total,560.903,0x41,8.096049
Session 1,reply_latency,60.048,0xb1,8.656952
Session 1,post_rx_silence,14.503,0xb1,8.784708
Session 1,command_period,142.259,0xb1,8.656952
Session 1,post_tx_total,116.217,0xb1,8.682994
Session 1,reply_latency,59.238,0x41,8.799211
Session 1,post_rx_silence,149.448,0x41,8.927199
Session 1,command_period,277.435,0x41,8.799211
Session 1,post_tx_total,243.060,0x41,8.833586
Session 1,reply_latency,51.961,0x41,9.076646
Session 1,post_rx_silence,524.972,0x41,9.197357
Session 1,command_period,645.683,0x41,9.076646
Session 1,post_tx_total,611.308,0x41,9.111021
Session 1,reply_latency,52.024,0x40,9.722329
Session 1,post_rx_silence,458.047,0x40,9.855603
Session 1,command_period,591.321,0x40,9.722329
Session 1,post_tx_total,552.779,0x40,9.760871
Session 1,reply_latency,55.256,0xb1,10.313650
Session 1,post_rx_silence,1969.259,0xb1,10.429322
Session 1,command_period,2084.931,0xb1,10.313650
Session 1,post_tx_total,2060.973,0xb1,10.337608
Session 1,reply_latency,55.608,0x40,12.398581
Session 1,post_rx_silence,442.174,0x40,12.535440
Session 1,command_period,579.032,0x40,12.398581
Session 1,post_tx_total,540.490,0x40,12.437123
Session 1,reply_latency,51.042,0xb1,12.977613
Session 1,post_rx_silence,2929.500,0xb1,13.089072
Session 1,command_period,3040.959,0xb1,12.977613
Session 1,post_tx_total,3017.001,0xb1,13.001572
Session 1,command_period,810.436,0xa0,16.018572
Session 1,post_tx_total,776.061,0xa0,16.052947
